Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214378630000;40;41.1;39.5;19.5609188
132912214378730000;40;41.1;39.5;19.5609188
132912214378830000;40;41.1;39.5;19.5609188
132912214378930000;40;41.1;39.5;19.5494614
132912214379030000;40;41.1;39.5;19.5494614
132912214379130000;40;41.1;39.5;19.5494614
132912214379230000;40;41.1;39.5;19.5494614
132912214379330000;40;41.1;39.5;19.5494614
132912214379430000;40;41.1;39.5;19.5380039
132912214379530000;40;41.1;39.5;19.5380039
132912214379630000;40;41.1;39.5;19.5380039
132912214379730000;40;41.1;39.5;19.5380039
132912214379830000;40;41.1;39.5;19.5380039
132912214379930000;40;41.1;39.5;19.5265446
132912214380030000;40;41.1;39.5;19.5265446
132912214380130000;40;41.1;39.5;19.5265446
132912214380230000;40;41.1;39.5;19.5265446
132912214380330000;40;41.1;39.5;19.5265446
132912214380430000;40;41.1;39.5;19.5150871
132912214380530000;40;41.1;39.5;19.5150871
132912214380630000;40;41.1;39.5;19.5150871
132912214380730000;40;41.1;39.5;19.5150871
132912214380830000;40;41.1;39.5;19.5150871
132912214380930000;40;41.1;39.5;19.5036278
132912214381030000;40;41.1;39.5;19.5036278
132912214381130000;40;41.1;39.5;19.5036278
132912214381230000;40;41.1;39.5;19.5036278
132912214381330000;40;41.1;39.5;19.5036278
132912214381430000;40;41.1;39.5;19.49217
132912214381530000;40;41.1;39.5;19.49217
132912214381630000;40;41.1;39.5;19.49217
132912214381730000;40;41.1;39.5;19.49217
132912214381830000;40;41.1;39.5;19.49217
132912214381930000;40;41.1;39.5;19.480711
132912214382030000;40;41.1;39.5;19.480711
132912214382130000;40;41.1;39.5;19.480711
132912214382230000;40;41.1;39.5;19.480711
132912214382330000;40;41.1;39.5;19.480711
132912214382430000;40;41.1;39.5;19.4692535
132912214382530000;40;41.1;39.5;19.4692535
132912214382630000;40;41.1;39.5;19.4692535
132912214382730000;40;41.1;39.5;19.4692535
132912214382830000;40;41.1;39.5;19.4692535
132912214382930000;40;41.1;39.5;19.4577942
132912214383030000;40;41.1;39.5;19.4577942
132912214383130000;40;41.1;39.5;19.4577942
132912214383230000;40;41.1;39.5;19.4577942
132912214383330000;40;41.1;39.5;19.4577942
132912214383430000;40;41.1;39.5;19.4463367
132912214383530000;40;41.1;39.5;19.4463367
132912214383630000;40;41.1;39.5;19.4463367
132912214383730000;40;41.1;39.5;19.4463367
132912214383830000;40;41.1;39.5;19.4463367
